date,observation_datetime_utc,scene_index,cloud_cover,scene_covers_roi,scene_coverage_ratio,export_requested,export_eligible,export_reason,exported,lst_drive_folder,indices_drive_folder,lst_export_description,indices_export_description,lst_total_pixels,lst_valid_pixels,lst_valid_pixel_ratio,lst_mean_temp_c,lst_min_temp_c,lst_max_temp_c,lst_std_temp_c,indices_valid_pixel_ratio,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndbi_mean,ndbi_min,ndbi_max,ndbi_std,ndwi_mean,ndwi_min,ndwi_max,ndwi_std
2023-07-07,2023-07-07T03:23:29,LC08_127046_20230707,8.38,False,0.5257017363265098,False,False,scene_does_not_cover_roi,False,,,,,1960629.0,1952789.0,99.60012832616472,35.76456879197197,24.83469259669141,48.46273299199834,2.116565661769963,99.57289216878868,0.5238728474128486,-0.9992683819046464,0.9986936642717189,0.24563009477651995,-0.26450810993840435,-0.9972325603588127,0.9957567185289994,0.16299907182843548,-0.48774138851598997,-0.9375727063883865,0.9996482176360229,0.22035748542658726
2023-07-16,2023-07-16T03:16:56,LC08_126045_20230716,65.82,False,0.0069026149486131234,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,25904.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-07-16,2023-07-16T03:17:20,LC08_126046_20230716,99.91,False,0.031588499422361783,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,118257.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-07-23,2023-07-23T03:23:09,LC08_127045_20230723,20.97,False,0.9320082636456406,False,False,scene_does_not_cover_roi,False,,,,,3474399.0,3067943.0,88.30140119197594,35.98935705542663,20.567084293866515,56.409546457243835,2.8423766736625553,85.7296182735489,0.5541518182128404,-0.9996400935756706,0.9994194484760528,0.26606319528116934,-0.23795671202490118,-0.9935781097305602,0.9969954932398624,0.16483561632929503,-0.5176638884988554,-0.9804485336400226,0.9997570948544595,0.24266108386613272
2023-07-23,2023-07-23T03:23:33,LC08_127046_20230723,10.9,False,0.5311268129838405,False,False,scene_does_not_cover_roi,False,,,,,1980838.0,1844806.0,93.13260347388328,35.442056404935435,23.257133544488966,52.6598856263123,2.5974723490451335,91.42060077603519,0.5836931891035116,-0.9993963175369761,0.9928017718715396,0.2408908092376541,-0.26585855902250294,-0.9997074597757194,0.9894179894179983,0.16016365496137955,-0.5355674844792008,-0.9451574203824866,0.9997282977856272,0.22001265626803693
2023-08-08,2023-08-08T03:23:16,LC08_127045_20230808,80.04,False,0.9325482047549555,False,False,scene_does_not_cover_roi|indices_valid_ratio_below_threshold,False,,,,,3476397.0,1758421.0,50.58170859081975,28.01520263410174,-1.6043280238275202,44.43152449759526,3.94148467772402,47.380952175485135,0.5561283380756231,-0.9992624462200375,0.9996804820157019,0.2603398436292863,-0.23030230629688195,-0.9978738483345163,0.9988308651597827,0.17577262668254093,-0.5131279342288723,-0.9981478142569128,0.9992644354542117,0.2332585122593366
2023-08-08,2023-08-08T03:23:40,LC08_127046_20230808,94.54,False,0.530507184656104,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1978532.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-08-17,2023-08-17T03:17:10,LC08_126045_20230817,21.62,False,0.008101509921378185,False,False,scene_does_not_cover_roi,False,,,,,30377.0,26471.0,87.14158738519274,33.25821596454228,27.689092184047524,40.27673546945118,1.8698490521857722,84.24136682358363,0.6095060229461601,-0.9100748165903969,0.9963604183026087,0.24018596764689842,-0.2723963818342408,-0.6423887087001463,0.8103844386582931,0.1374696300989748,-0.5480503365798411,-0.9017996000888691,0.6946225949679317,0.2106512367623869
2023-08-17,2023-08-17T03:17:34,LC08_126046_20230817,16.55,False,0.03497732166114814,False,False,scene_does_not_cover_roi,False,,,,,130956.0,122035.0,93.18778826476068,33.47264457596274,27.713284300524833,41.23990303310535,1.8585512636672359,91.89804209047313,0.5893518262592755,-0.5921462097897289,0.99764650059312,0.24708146915902135,-0.29693964131298245,-0.8368942157373638,0.3068779797480181,0.14035559050050514,-0.5307802852609366,-0.8265337003357783,0.5911538902257363,0.21956088550036162
2023-08-24,2023-08-24T03:23:24,LC08_127045_20230824,100.0,False,0.9344661093023982,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3483547.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-08-24,2023-08-24T03:23:48,LC08_127046_20230824,88.56,False,0.5247693301171001,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1957175.0,8.0,0.00040875241100054926,8.576218896638693,6.676570663816108,9.161874087445995,0.7475422982777643,0.0,,,,,,,,,,,,
